rank,feature,leaky_importance,corrected_importance,inflation_ratio
1,autch98,0.037268583222269565,0.010298879197151601,3.618702822786491
2,elfo2,0.032558690485976934,0.00606704206313482,5.36648504282068
3,pol4sq,0.029200966905361985,0.01663503829401863,1.7553892205863824
4,ehet,0.02694432438800459,0.006120067479223038,4.4026188403114235
5,dem4,0.02687505012219841,0.007151457137404972,3.7579824091556366
6,regd4_alt,0.019157624930142267,0.010772815578940765,1.7783303528923806
7,polch98,0.01806664853182327,0.0530137743910557,0.34079159122975805
8,life,0.01705541239290507,0.0424412185964343,0.4018596297877738
9,pol4m,0.016168824542626036,0.019994444757138016,0.8086658438891516
10,trade,0.01555051036315328,0.014032910826552867,1.1081457407773756
11,xconst,0.015509856819572955,0.008933101853182624,1.7362229911267844
12,plural,0.014233727209489854,0.012572974100132236,1.1320891219636053
13,exrec,0.01396947828933891,0.007959565479192106,1.7550553891236795
14,decade2,0.013790752469001693,0.02137882498080721,0.6450659697800187
15,milper,0.013519690844215641,0.008960870646125673,1.5087474619512582
16,popdense,0.013516387449974193,0.014387417006075251,0.9394589344471453
17,dem,0.01325874313290049,0.010538993837455489,1.2580653653842206
18,agexp,0.013219161674584708,0.00950949496673838,1.3901013377494524
19,manuexp,0.012931524780990643,0.014989776109895896,0.8626896550144972
20,mirps3,0.012925567299914351,0.013599901636954282,0.9504162342463126
21,tnatwar,0.012707985927416728,0.013500038638748293,0.9413295967125467
22,lmtnest,0.01267433789651382,0.012303554069556199,1.0301363187304622
23,nmdp4_alt,0.01265224727683684,0.0158085451676925,0.8003422922619027
24,ln_gdpen,0.012555941055664033,0.008693544050023223,1.444283365151925
25,pri,0.012499408176454764,0.015535529972741106,0.8045691520267689
26,demch98,0.012416287755451706,0.013751279035866143,0.9029187556348389
27,decade1,0.0122300573693943,0.009091245810906331,1.345256483409841
28,pol4,0.012065322942445538,0.010929263991014525,1.103946519396459
29,reg,0.011781109689278948,0.012933767917601492,0.910879935710467
30,parreg,0.011500626254492873,0.008043036204490955,1.4298861725962788
31,expgdp,0.011089818513253219,0.020177108233466225,0.5496237808180751
32,ef,0.010976781391348469,0.008532172601751738,1.2865165654401822
33,seceduc,0.010885247831768015,0.009610310689263785,1.1326634677824239
34,centpol3,0.010792577271980365,0.013707644304187078,0.7873400441740168
35,lpopns,0.010729623520770419,0.01124474804280879,0.9541897675183747
36,gdpgrowth,0.010523485254990335,0.010508722136271324,1.0014048443309824
37,partfree,0.010369078541979795,0.007816175907764044,1.326617858188155
38,major,0.01009172884458241,0.006033712229952706,1.6725572019303134
39,illiteracy,0.01008905482115516,0.006993039689570623,1.4427280937933062
40,dlang,0.009914303237538126,0.00844441924661387,1.1740657288556184
41,autonomy,0.009637801682351012,0.009362802111435597,1.029371503065256
42,ptime,0.009579965833468382,0.012863759561060213,0.7447251939058176
43,relfrac,0.009476164923888853,0.010163628813493747,0.9323603899532239
44,fuelexp,0.009467798577746095,0.011237514634926319,0.8425171299283628
45,ef2,0.009378855360056419,0.008180063275215348,1.1465504659937378
46,fedpol3,0.009338056843049626,0.009299381602287451,1.0041589045827155
47,infant,0.009330039691234191,0.010331655025601688,0.9030537380617618
48,avgnabo,0.00924864048803841,0.0045653986507016905,2.025812244592686
49,plurrel,0.009219123228824844,0.01024255620420911,0.9000803163800367
50,sxpnew,0.009200102776931922,0.00948116931848826,0.970355287189286
51,geo2,0.009188645694138608,0.011548458067594223,0.7956599608672077
52,geo34,0.009187245864893764,0.01318828930955112,0.6966214987595282
53,nwstate,0.00909789409103072,0.00979724903997464,0.9286172122306559
54,presi,0.00897572688479199,0.008639826250576278,1.0388781700550178
55,geo1,0.008956664807210671,0.014861475798295175,0.6026766741589775
56,elfo,0.00894702442064527,0.009290677720586484,0.9630109546067087
57,second,0.008919506904835254,0.00857807265956373,1.0398031421301681
58,mirps0,0.00876950824414718,0.007806894738616914,1.1233029953341993
59,geo8,0.008765763292892045,0.012884503513277693,0.6803338043921352
